"","id_trx","fecha","id_cliente","canal","tipo_trx","moneda","monto","provincia","segmento","es_pep","ingreso_mensual","trx_diarias","monto_diario","umbral_segmento","regla_monto_alto","regla_salario","regla_pep","regla_frecuencia","num_reglas","alerta","id_regla_principal"
"1",1,"2024-09-02",674,"SINPE","Retiro","CRC",22616.9465947026,"San José","Personal",0,156024,1,22616.9465947026,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"2",2,"2024-06-09",219,"Cajero","Transferencia","USD",57553.8609599677,"Alajuela","Personal",0,595135,1,57553.8609599677,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"3",3,"2024-12-03",72,"Internet","Transferencia","USD",21034.7865318106,"Heredia","Personal",0,277764,1,21034.7865318106,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"4",4,"2024-01-16",454,"Cajero","Retiro","CRC",55438.0583384017,"San José","PYME",0,1359930,1,55438.0583384017,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"5",5,"2024-09-25",583,"Ventanilla","Transferencia","CRC",20185.3708473191,"Cartago","Personal",0,275890,1,20185.3708473191,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"6",6,"2024-06-16",789,"Cajero","Pago","USD",104162.386608019,"Guanacaste","Personal",0,489035,1,104162.386608019,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"7",7,"2024-08-14",102,"Cajero","Transferencia","CRC",160842.936510321,"Heredia","Personal",0,1020648,1,160842.936510321,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"8",8,"2024-05-24",817,"SINPE","Pago","CRC",70730.24037088,"San José","Personal",0,536473,1,70730.24037088,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"9",9,"2024-09-26",816,"Internet","Depósito","CRC",579618.753518788,"Puntarenas","Corporativo",0,5716293,1,579618.753518788,5e+06,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"10",10,"2024-06-06",440,"SINPE","Depósito","USD",188467.788354709,"Heredia","PYME",0,947196,1,188467.788354709,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"11",11,"2024-11-29",854,"Internet","Transferencia","USD",80144.7577000029,"Puntarenas","Personal",0,887657,1,80144.7577000029,8e+05,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"12",12,"2024-02-12",307,"SINPE","Transferencia","USD",143702.899359236,"Limón","PYME",0,1037163,1,143702.899359236,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"13",13,"2024-11-28",679,"Internet","Pago","CRC",163364.940131284,"Cartago","PYME",0,2244994,1,163364.940131284,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
"14",14,"2024-01-13",159,"Cajero","Depósito","USD",93055.5523565409,"Heredia","PYME",0,1063044,1,93055.5523565409,1.5e+07,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sin alerta"
